ConfigID;Seleccion;Crossover;Mutacion;Supervivencia;PopSize;MaxGen;Run;BestFitness;TimeMS
Tournament_Size_1+PartiallyMappedCrossover+ReversalMutation+FullGenReplacement+P100;Tournament_Size_1;PartiallyMappedCrossover;ReversalMutation;FullGenReplacement;100;1000;2;0,30;3
Tournament_Size_1+PartiallyMappedCrossover+ReversalMutation+FullGenReplacement+P100;Tournament_Size_1;PartiallyMappedCrossover;ReversalMutation;FullGenReplacement;100;1000;3;0,42;5
Tournament_Size_1+PartiallyMappedCrossover+ReversalMutation+FullGenReplacement+P100;Tournament_Size_1;PartiallyMappedCrossover;ReversalMutation;FullGenReplacement;100;1000;4;0,35;2
Tournament_Size_1+PartiallyMappedCrossover+ReversalMutation+SteadyStateSurvivorSelection+P100;Tournament_Size_1;PartiallyMappedCrossover;ReversalMutation;SteadyStateSurvivorSelection;100;1000;1;1,32;7
Tournament_Size_1+PartiallyMappedCrossover+ReversalMutation+SteadyStateSurvivorSelection+P100;Tournament_Size_1;PartiallyMappedCrossover;ReversalMutation;SteadyStateSurvivorSelection;100;1000;2;0,82;5
Tournament_Size_1+PartiallyMappedCrossover+ReversalMutation+SteadyStateSurvivorSelection+P100;Tournament_Size_1;PartiallyMappedCrossover;ReversalMutation;SteadyStateSurvivorSelection;100;1000;3;0,78;7
Tournament_Size_1+PartiallyMappedCrossover+ReversalMutation+SteadyStateSurvivorSelection+P100;Tournament_Size_1;PartiallyMappedCrossover;ReversalMutation;SteadyStateSurvivorSelection;100;1000;4;0,85;5
Roulette+OrderCrossover+SwapMutation+FullGenReplacement+P200;Roulette;OrderCrossover;SwapMutation;FullGenReplacement;200;2000;1;0,29;10
Roulette+OrderCrossover+SwapMutation+FullGenReplacement+P200;Roulette;OrderCrossover;SwapMutation;FullGenReplacement;200;2000;2;0,52;5
Roulette+OrderCrossover+SwapMutation+FullGenReplacement+P200;Roulette;OrderCrossover;SwapMutation;FullGenReplacement;200;2000;3;0,36;6
Roulette+OrderCrossover+SwapMutation+FullGenReplacement+P200;Roulette;OrderCrossover;SwapMutation;FullGenReplacement;200;2000;4;0,34;13
Roulette+OrderCrossover+SwapMutation+SteadyStateSurvivorSelection+P200;Roulette;OrderCrossover;SwapMutation;SteadyStateSurvivorSelection;200;2000;1;0,96;10
Roulette+OrderCrossover+SwapMutation+SteadyStateSurvivorSelection+P200;Roulette;OrderCrossover;SwapMutation;SteadyStateSurvivorSelection;200;2000;2;0,97;20
Roulette+OrderCrossover+SwapMutation+SteadyStateSurvivorSelection+P200;Roulette;OrderCrossover;SwapMutation;SteadyStateSurvivorSelection;200;2000;3;0,80;11
Roulette+OrderCrossover+SwapMutation+SteadyStateSurvivorSelection+P200;Roulette;OrderCrossover;SwapMutation;SteadyStateSurvivorSelection;200;2000;4;1,64;15
Roulette+OrderCrossover+ReversalMutation+FullGenReplacement+P200;Roulette;OrderCrossover;ReversalMutation;FullGenReplacement;200;2000;1;0,42;9
Roulette+OrderCrossover+ReversalMutation+FullGenReplacement+P200;Roulette;OrderCrossover;ReversalMutation;FullGenReplacement;200;2000;2;0,35;9
Roulette+OrderCrossover+ReversalMutation+FullGenReplacement+P200;Roulette;OrderCrossover;ReversalMutation;FullGenReplacement;200;2000;3;0,55;6
Roulette+OrderCrossover+ReversalMutation+FullGenReplacement+P200;Roulette;OrderCrossover;ReversalMutation;FullGenReplacement;200;2000;4;0,37;11
Roulette+OrderCrossover+ReversalMutation+SteadyStateSurvivorSelection+P200;Roulette;OrderCrossover;ReversalMutation;SteadyStateSurvivorSelection;200;2000;1;1,28;25
Roulette+OrderCrossover+ReversalMutation+SteadyStateSurvivorSelection+P200;Roulette;OrderCrossover;ReversalMutation;SteadyStateSurvivorSelection;200;2000;2;1,04;15
Roulette+OrderCrossover+ReversalMutation+SteadyStateSurvivorSelection+P200;Roulette;OrderCrossover;ReversalMutation;SteadyStateSurvivorSelection;200;2000;3;1,02;14
Roulette+OrderCrossover+ReversalMutation+SteadyStateSurvivorSelection+P200;Roulette;OrderCrossover;ReversalMutation;SteadyStateSurvivorSelection;200;2000;4;1,41;14
Roulette+PartiallyMappedCrossover+SwapMutation+FullGenReplacement+P200;Roulette;PartiallyMappedCrossover;SwapMutation;FullGenReplacement;200;2000;1;0,37;12
Roulette+PartiallyMappedCrossover+SwapMutation+FullGenReplacement+P200;Roulette;PartiallyMappedCrossover;SwapMutation;FullGenReplacement;200;2000;2;0,34;6
Roulette+PartiallyMappedCrossover+SwapMutation+FullGenReplacement+P200;Roulette;PartiallyMappedCrossover;SwapMutation;FullGenReplacement;200;2000;3;0,38;7
Roulette+PartiallyMappedCrossover+SwapMutation+FullGenReplacement+P200;Roulette;PartiallyMappedCrossover;SwapMutation;FullGenReplacement;200;2000;4;0,39;16
Roulette+PartiallyMappedCrossover+SwapMutation+SteadyStateSurvivorSelection+P200;Roulette;PartiallyMappedCrossover;SwapMutation;SteadyStateSurvivorSelection;200;2000;1;1,15;11
Roulette+PartiallyMappedCrossover+SwapMutation+SteadyStateSurvivorSelection+P200;Roulette;PartiallyMappedCrossover;SwapMutation;SteadyStateSurvivorSelection;200;2000;2;1,06;19
Roulette+PartiallyMappedCrossover+SwapMutation+SteadyStateSurvivorSelection+P200;Roulette;PartiallyMappedCrossover;SwapMutation;SteadyStateSurvivorSelection;200;2000;3;1,19;10
Roulette+PartiallyMappedCrossover+SwapMutation+SteadyStateSurvivorSelection+P200;Roulette;PartiallyMappedCrossover;SwapMutation;SteadyStateSurvivorSelection;200;2000;4;1,28;11
Roulette+PartiallyMappedCrossover+ReversalMutation+FullGenReplacement+P200;Roulette;PartiallyMappedCrossover;ReversalMutation;FullGenReplacement;200;2000;1;0,48;10
Roulette+PartiallyMappedCrossover+ReversalMutation+FullGenReplacement+P200;Roulette;PartiallyMappedCrossover;ReversalMutation;FullGenReplacement;200;2000;2;0,34;15
Roulette+PartiallyMappedCrossover+ReversalMutation+FullGenReplacement+P200;Roulette;PartiallyMappedCrossover;ReversalMutation;FullGenReplacement;200;2000;3;0,60;7
Roulette+PartiallyMappedCrossover+ReversalMutation+FullGenReplacement+P200;Roulette;PartiallyMappedCrossover;ReversalMutation;FullGenReplacement;200;2000;4;0,56;6
Roulette+PartiallyMappedCrossover+ReversalMutation+SteadyStateSurvivorSelection+P200;Roulette;PartiallyMappedCrossover;ReversalMutation;SteadyStateSurvivorSelection;200;2000;1;1,22;23
Roulette+PartiallyMappedCrossover+ReversalMutation+SteadyStateSurvivorSelection+P200;Roulette;PartiallyMappedCrossover;ReversalMutation;SteadyStateSurvivorSelection;200;2000;2;0,95;16
Roulette+PartiallyMappedCrossover+ReversalMutation+SteadyStateSurvivorSelection+P200;Roulette;PartiallyMappedCrossover;ReversalMutation;SteadyStateSurvivorSelection;200;2000;3;1,12;27
Roulette+PartiallyMappedCrossover+ReversalMutation+SteadyStateSurvivorSelection+P200;Roulette;PartiallyMappedCrossover;ReversalMutation;SteadyStateSurvivorSelection;200;2000;4;0,98;15
Tournament_Size_1+OrderCrossover+SwapMutation+FullGenReplacement+P200;Tournament_Size_1;OrderCrossover;SwapMutation;FullGenReplacement;200;2000;1;0,47;6
Tournament_Size_1+OrderCrossover+SwapMutation+FullGenReplacement+P200;Tournament_Size_1;OrderCrossover;SwapMutation;FullGenReplacement;200;2000;2;0,39;8
